timestamp,level,message,user_id
"2023-10-01T08:00:00Z","INFO","User login successful","1001"
"2023-10-01T08:05:12Z","ERROR","Database connection failed","1002"
"2023-10-01T08:10:45Z","WARN","API response slow","1003"
"2023-10-01T08:15:30Z","INFO","File uploaded successfully","1004"
"2023-10-01T08:20:05Z","ERROR","Timeout while accessing service","1005"
"2023-10-01T08:25:50Z","INFO","User logout","1001"
"2023-10-01T08:30:22Z","WARN","Disk space low","1006"
"2023-10-01T08:35:18Z","INFO","Password changed","1002"
"2023-10-01T08:40:00Z","ERROR","Failed to send email","1007"
"2023-10-01T08:45:33Z","INFO","New user registration","1008"
"2023-10-01T08:50:47Z","WARN","High memory usage detected","1009"
"2023-10-01T08:55:29Z","INFO","Profile updated","1010"
"2023-10-01T09:00:15Z","ERROR","Payment processing failed","1011"
"2023-10-01T09:05:50Z","INFO","Subscription renewed","1012"
"2023-10-01T09:10:05Z","WARN","Unusual login attempt","1013"
"2023-10-01T09:15:40Z","INFO","Item added to cart","1014"
"2023-10-01T09:20:25Z","ERROR","Checkout failed","1015"
"2023-10-01T09:25:55Z","INFO","Order placed successfully","1016"
"2023-10-01T09:30:30Z","WARN","Delayed email delivery","1017"
"2023-10-01T09:35:10Z","INFO","User password reset","1018"
